vocabulary_id,concept_id,lang_code,word,article,pronunciation,level,created_at
78,1,or,ହେବା,null,hebā,A,2026-02-19 20:40:31.084756+00
79,1,ps,کېدل,null,kedal,A,2026-02-19 20:40:31.084756+00
80,1,fa,بودن,null,budan,A,2026-02-19 20:40:31.084756+00
81,1,pt-BR,ser,null,null,A,2026-02-19 20:40:31.084756+00
82,1,pt-PT,ser,null,null,A,2026-02-19 20:40:31.084756+00
83,1,pa,ਹੋਣਾ,null,hoṇā,A,2026-02-19 20:40:31.084756+00
84,1,ro,a fi,null,null,A,2026-02-19 20:40:31.084756+00
85,1,rm,esser,null,null,A,2026-02-19 20:40:31.084756+00
86,1,ru,быть,null,byt,A,2026-02-19 20:40:31.084756+00
87,1,sm,avea,null,avea,A,2026-02-19 20:40:31.084756+00
88,1,sa,अस्,null,as,A,2026-02-19 20:40:31.084756+00
89,1,gd,bi,null,null,A,2026-02-19 20:40:31.084756+00
90,1,sr,biti,null,null,A,2026-02-19 20:40:31.084756+00
91,1,st,ba,null,null,A,2026-02-19 20:40:31.084756+00
92,1,tn,nna,null,null,A,2026-02-19 20:40:31.084756+00
93,1,sn,kuva,null,null,A,2026-02-19 20:40:31.084756+00
94,1,scn,essiri,null,null,A,2026-02-19 20:40:31.084756+00
95,1,sd,ٿيڻ,null,thīṇ,A,2026-02-19 20:40:31.084756+00
96,1,si,වීම,null,vīma,A,2026-02-19 20:40:31.084756+00
97,1,sk,byť,null,null,A,2026-02-19 20:40:31.084756+00
98,1,sl,biti,null,null,A,2026-02-19 20:40:31.084756+00
99,1,so,ahaan,null,null,A,2026-02-19 20:40:31.084756+00
100,1,es,ser,null,null,A,2026-02-19 20:40:31.084756+00
101,1,su,jadi,null,null,A,2026-02-19 20:40:31.084756+00
102,1,sw,kuwa,null,null,A,2026-02-19 20:40:31.084756+00
103,1,sv,vara,null,null,A,2026-02-19 20:40:31.084756+00
104,1,tg,будан,null,budan,A,2026-02-19 20:40:31.084756+00
105,1,ta,ஆகுதல்,null,ākuthal,A,2026-02-19 20:40:31.084756+00
106,1,te,అవటం,null,avataṁ,A,2026-02-19 20:40:31.084756+00
107,1,th,เป็น,null,pen,A,2026-02-19 20:40:31.084756+00
108,1,ti,ኮነ,null,kone,A,2026-02-19 20:40:31.084756+00
109,1,tpi,stap,null,null,A,2026-02-19 20:40:31.084756+00
110,1,to,hoko,null,null,A,2026-02-19 20:40:31.084756+00
111,1,tr,olmak,null,null,A,2026-02-19 20:40:31.084756+00
112,1,uk,бути,null,buty,A,2026-02-19 20:40:31.084756+00
113,1,ur,ہونا,null,hona,A,2026-02-19 20:40:31.084756+00
114,1,uz,bo‘lmoq,null,null,A,2026-02-19 20:40:31.084756+00
115,1,vec,esser,null,null,A,2026-02-19 20:40:31.084756+00
116,1,vi,là,null,null,A,2026-02-19 20:40:31.084756+00
117,1,cy,bod,null,null,A,2026-02-19 20:40:31.084756+00
118,1,wo,nek,null,null,A,2026-02-19 20:40:31.084756+00
119,1,yo,jẹ,null,null,A,2026-02-19 20:40:31.084756+00
120,1,zu,ukuba,null,null,A,2026-02-19 20:40:31.084756+00
121,1,zgh,ili,null,null,A,2026-02-19 20:40:31.084756+00
122,2,af,en,null,null,A,2026-02-19 20:40:31.084756+00
123,2,sq,dhe,null,null,A,2026-02-19 20:40:31.084756+00
124,2,am,እና,null,ena,A,2026-02-19 20:40:31.084756+00
125,2,ar-EG,و,null,wa,A,2026-02-19 20:40:31.084756+00
126,2,ar-AE,و,null,wa,A,2026-02-19 20:40:31.084756+00
127,2,ar-IQ,و,null,wa,A,2026-02-19 20:40:31.084756+00
128,2,ar-LB,و,null,wa,A,2026-02-19 20:40:31.084756+00
129,2,ar-MA,و,null,wa,A,2026-02-19 20:40:31.084756+00
130,2,ar,و,null,wa,A,2026-02-19 20:40:31.084756+00
131,2,hy,և,null,yev,A,2026-02-19 20:40:31.084756+00
132,2,ast,y,null,null,A,2026-02-19 20:40:31.084756+00
133,2,eu,eta,null,null,A,2026-02-19 20:40:31.084756+00
134,2,be,і,null,i,A,2026-02-19 20:40:31.084756+00
135,2,bn,এবং,null,ebong,A,2026-02-19 20:40:31.084756+00
136,2,bs,i,null,null,A,2026-02-19 20:40:31.084756+00
137,2,br,ha,null,null,A,2026-02-19 20:40:31.084756+00
138,2,bg,и,null,i,A,2026-02-19 20:40:31.084756+00
139,2,my,နှင့်,null,hnint,A,2026-02-19 20:40:31.084756+00
140,2,ca,i,null,null,A,2026-02-19 20:40:31.084756+00
141,2,ceb,ug,null,null,A,2026-02-19 20:40:31.084756+00
142,2,co,è,null,null,A,2026-02-19 20:40:31.084756+00
143,2,hr,i,null,null,A,2026-02-19 20:40:31.084756+00
144,2,cs,a,null,null,A,2026-02-19 20:40:31.084756+00
145,2,da,og,null,null,A,2026-02-19 20:40:31.084756+00
146,2,nl,en,null,null,A,2026-02-19 20:40:31.084756+00
147,2,en,and,null,null,A,2026-02-19 20:40:31.084756+00
148,2,eo,kaj,null,null,A,2026-02-19 20:40:31.084756+00
149,2,et,ja,null,null,A,2026-02-19 20:40:31.084756+00
150,2,fo,og,null,null,A,2026-02-19 20:40:31.084756+00
151,2,fil,at,null,null,A,2026-02-19 20:40:31.084756+00
152,2,fi,ja,null,null,A,2026-02-19 20:40:31.084756+00
153,2,fr,et,null,null,A,2026-02-19 20:40:31.084756+00
154,2,fy,en,null,null,A,2026-02-19 20:40:31.084756+00
155,2,gl,e,null,null,A,2026-02-19 20:40:31.084756+00
156,2,ka,და,null,da,A,2026-02-19 20:40:31.084756+00
157,2,de,und,null,null,A,2026-02-19 20:40:31.084756+00
158,2,el,και,null,kai,A,2026-02-19 20:40:31.084756+00
159,2,gu,અને,null,ane,A,2026-02-19 20:40:31.084756+00
160,2,ht,ak,null,null,A,2026-02-19 20:40:31.084756+00
161,2,ha,da,null,null,A,2026-02-19 20:40:31.084756+00
162,2,he,ו,null,ve,A,2026-02-19 20:40:31.084756+00
163,2,hi,और,null,aur,A,2026-02-19 20:40:31.084756+00
164,2,hu,és,null,null,A,2026-02-19 20:40:31.084756+00
165,2,is,og,null,null,A,2026-02-19 20:40:31.084756+00
166,2,ig,na,null,null,A,2026-02-19 20:40:31.084756+00
167,2,ilo,ken,null,null,A,2026-02-19 20:40:31.084756+00
168,2,id,dan,null,null,A,2026-02-19 20:40:31.084756+00
169,2,ga,agus,null,null,A,2026-02-19 20:40:31.084756+00
170,2,xh,kunye,null,null,A,2026-02-19 20:40:31.084756+00
171,2,it,e,null,null,A,2026-02-19 20:40:31.084756+00
172,2,ja,と,null,to,A,2026-02-19 20:40:31.084756+00
173,2,jv,lan,null,null,A,2026-02-19 20:40:31.084756+00
174,2,kn,ಮತ್ತು,null,mattu,A,2026-02-19 20:40:31.084756+00
175,2,kk,және,null,zhäne,A,2026-02-19 20:40:31.084756+00
176,2,km,និង,null,nɨng,A,2026-02-19 20:40:31.084756+00
177,2,rw,na,null,null,A,2026-02-19 20:40:31.084756+00
178,2,rn,na,null,null,A,2026-02-19 20:40:31.084756+00
179,2,ko,그리고,null,geurigo,A,2026-02-19 20:40:31.084756+00
180,2,ku,û,null,null,A,2026-02-19 20:40:31.084756+00
181,2,kmr,û,null,null,A,2026-02-19 20:40:31.084756+00
182,2,lo,ແລະ,null,lae,A,2026-02-19 20:40:31.084756+00
183,2,la,et,null,null,A,2026-02-19 20:40:31.084756+00
184,2,lv,un,null,null,A,2026-02-19 20:40:31.084756+00
185,2,lt,ir,null,null,A,2026-02-19 20:40:31.084756+00
186,2,lb,an,null,null,A,2026-02-19 20:40:31.084756+00
187,2,mk,и,null,i,A,2026-02-19 20:40:31.084756+00
188,2,mg,sy,null,null,A,2026-02-19 20:40:31.084756+00
189,2,ms,dan,null,null,A,2026-02-19 20:40:31.084756+00
190,2,ml,null,null,null,A,2026-02-19 20:40:31.084756+00
191,2,mt,u,null,null,A,2026-02-19 20:40:31.084756+00
192,2,mi,me,null,null,A,2026-02-19 20:40:31.084756+00
193,2,mn,ба,null,ba,A,2026-02-19 20:40:31.084756+00
194,2,sr-ME,i,null,null,A,2026-02-19 20:40:31.084756+00
195,2,ne,र,null,ra,A,2026-02-19 20:40:31.084756+00
196,2,nb-NO,og,null,null,A,2026-02-19 20:40:31.084756+00
197,2,nn-NO,og,null,null,A,2026-02-19 20:40:31.084756+00
198,2,oc,e,null,null,A,2026-02-19 20:40:31.084756+00
199,2,or,ଏବଂ,null,ebong,A,2026-02-19 20:40:31.084756+00
200,2,ps,او,null,aw,A,2026-02-19 20:40:31.084756+00
201,2,fa,و,null,va,A,2026-02-19 20:40:31.084756+00
202,2,pt-BR,e,null,null,A,2026-02-19 20:40:31.084756+00
203,2,pt-PT,e,null,null,A,2026-02-19 20:40:31.084756+00
204,2,pa,ਅਤੇ,null,ate,A,2026-02-19 20:40:31.084756+00
205,2,ro,și,null,null,A,2026-02-19 20:40:31.084756+00
206,2,rm,e,null,null,A,2026-02-19 20:40:31.084756+00
207,2,ru,и,null,i,A,2026-02-19 20:40:31.084756+00
208,2,sm,ma,null,null,A,2026-02-19 20:40:31.084756+00
209,2,sa,च,null,ca,A,2026-02-19 20:40:31.084756+00
210,2,gd,agus,null,null,A,2026-02-19 20:40:31.084756+00
211,2,sr,i,null,null,A,2026-02-19 20:40:31.084756+00
212,2,st,le,null,null,A,2026-02-19 20:40:31.084756+00
213,2,tn,le,null,null,A,2026-02-19 20:40:31.084756+00
214,2,sn,uye,null,null,A,2026-02-19 20:40:31.084756+00
215,2,scn,e,null,null,A,2026-02-19 20:40:31.084756+00
216,2,sd,null,null,null,A,2026-02-19 20:40:31.084756+00
217,2,si,හා,null,hā,A,2026-02-19 20:40:31.084756+00
218,2,sk,a,null,null,A,2026-02-19 20:40:31.084756+00
219,2,sl,in,null,null,A,2026-02-19 20:40:31.084756+00
220,2,so,iyo,null,null,A,2026-02-19 20:40:31.084756+00
221,2,es,y,null,null,A,2026-02-19 20:40:31.084756+00
222,2,su,jeung,null,null,A,2026-02-19 20:40:31.084756+00
223,2,sw,na,null,null,A,2026-02-19 20:40:31.084756+00
224,2,sv,och,null,null,A,2026-02-19 20:40:31.084756+00
225,2,tg,ва,null,va,A,2026-02-19 20:40:31.084756+00
226,2,ta,மற்றும்,null,maṟṟum,A,2026-02-19 20:40:31.084756+00
227,2,te,మరియు,null,mariyu,A,2026-02-19 20:40:31.084756+00
228,2,th,และ,null,lae,A,2026-02-19 20:40:31.084756+00
229,2,ti,እና,null,ena,A,2026-02-19 20:40:31.084756+00
230,2,tpi,na,null,null,A,2026-02-19 20:40:31.084756+00
231,2,to,mo,null,null,A,2026-02-19 20:40:31.084756+00
232,2,tr,ve,null,null,A,2026-02-19 20:40:31.084756+00
233,2,uk,і,null,i,A,2026-02-19 20:40:31.084756+00
234,2,ur,اور,null,aur,A,2026-02-19 20:40:31.084756+00
235,2,uz,va,null,null,A,2026-02-19 20:40:31.084756+00
236,2,vec,e,null,null,A,2026-02-19 20:40:31.084756+00
237,2,vi,và,null,null,A,2026-02-19 20:40:31.084756+00
238,2,cy,a,null,null,A,2026-02-19 20:40:31.084756+00
239,2,wo,ak,null,null,A,2026-02-19 20:40:31.084756+00
240,2,yo,àti,null,null,A,2026-02-19 20:40:31.084756+00
241,2,zu,na,null,null,A,2026-02-19 20:40:31.084756+00
242,2,zgh,null,null,null,A,2026-02-19 20:40:31.084756+00
243,3,af,van,null,null,A,2026-02-19 20:40:31.084756+00
244,3,sq,i,null,null,A,2026-02-19 20:40:31.084756+00
245,3,am,የ,null,ye,A,2026-02-19 20:40:31.084756+00
246,3,ar-EG,من,null,min,A,2026-02-19 20:40:31.084756+00
247,3,ar-AE,من,null,min,A,2026-02-19 20:40:31.084756+00
248,3,ar-IQ,من,null,min,A,2026-02-19 20:40:31.084756+00
249,3,ar-LB,من,null,min,A,2026-02-19 20:40:31.084756+00
250,3,ar-MA,من,null,men,A,2026-02-19 20:40:31.084756+00
251,3,ar,من,null,min,A,2026-02-19 20:40:31.084756+00
252,3,hy,ի,null,i,A,2026-02-19 20:40:31.084756+00
253,3,ast,de,null,null,A,2026-02-19 20:40:31.084756+00
254,3,eu,-ren,null,null,A,2026-02-19 20:40:31.084756+00
255,3,be,з,null,z,A,2026-02-19 20:40:31.084756+00
256,3,bn,এর,null,er,A,2026-02-19 20:40:31.084756+00
257,3,bs,od,null,null,A,2026-02-19 20:40:31.084756+00
258,3,br,a,null,null,A,2026-02-19 20:40:31.084756+00
259,3,bg,на,null,na,A,2026-02-19 20:40:31.084756+00
260,3,my,၏,null,e,A,2026-02-19 20:40:31.084756+00
261,3,ca,de,null,null,A,2026-02-19 20:40:31.084756+00
262,3,ceb,sa,null,null,A,2026-02-19 20:40:31.084756+00
263,3,co,di,null,null,A,2026-02-19 20:40:31.084756+00
264,3,hr,od,null,null,A,2026-02-19 20:40:31.084756+00
265,3,cs,z,null,null,A,2026-02-19 20:40:31.084756+00
266,3,da,af,null,null,A,2026-02-19 20:40:31.084756+00
267,3,nl,van,null,null,A,2026-02-19 20:40:31.084756+00
268,3,en,of,null,null,A,2026-02-19 20:40:31.084756+00
269,3,eo,de,null,null,A,2026-02-19 20:40:31.084756+00
270,3,et,-st,null,null,A,2026-02-19 20:40:31.084756+00
271,3,fo,av,null,null,A,2026-02-19 20:40:31.084756+00
272,3,fil,ng,null,null,A,2026-02-19 20:40:31.084756+00
273,3,fi,-n,null,null,A,2026-02-19 20:40:31.084756+00
274,3,fr,de,null,null,A,2026-02-19 20:40:31.084756+00
275,3,fy,fan,null,null,A,2026-02-19 20:40:31.084756+00
276,3,gl,de,null,null,A,2026-02-19 20:40:31.084756+00
277,3,ka,-ის,null,is,A,2026-02-19 20:40:31.084756+00
278,3,de,von,null,null,A,2026-02-19 20:40:31.084756+00
279,3,el,του,null,tou,A,2026-02-19 20:40:31.084756+00
280,3,gu,નું,null,nuṁ,A,2026-02-19 20:40:31.084756+00
281,3,ht,de,null,null,A,2026-02-19 20:40:31.084756+00
282,3,ha,na,null,null,A,2026-02-19 20:40:31.084756+00
283,3,he,של,null,shel,A,2026-02-19 20:40:31.084756+00
284,3,hi,का,null,kā,A,2026-02-19 20:40:31.084756+00
285,3,hu,-nak,null,null,A,2026-02-19 20:40:31.084756+00
286,3,is,af,null,null,A,2026-02-19 20:40:31.084756+00
287,3,ig,nke,null,null,A,2026-02-19 20:40:31.084756+00
288,3,ilo,ti,null,null,A,2026-02-19 20:40:31.084756+00
289,3,id,dari,null,null,A,2026-02-19 20:40:31.084756+00
290,3,ga,de,null,null,A,2026-02-19 20:40:31.084756+00
291,3,xh,ye,null,null,A,2026-02-19 20:40:31.084756+00
292,3,it,di,null,null,A,2026-02-19 20:40:31.084756+00
293,3,ja,の,null,no,A,2026-02-19 20:40:31.084756+00
294,3,jv,saka,null,null,A,2026-02-19 20:40:31.084756+00
295,3,kn,ನ,null,na,A,2026-02-19 20:40:31.084756+00
296,3,kk,-ның,null,nyng,A,2026-02-19 20:40:31.084756+00
297,3,km,នៃ,null,nei,A,2026-02-19 20:40:31.084756+00
298,3,rw,ya,null,null,A,2026-02-19 20:40:31.084756+00
299,3,rn,ya,null,null,A,2026-02-19 20:40:31.084756+00
300,3,ko,의,null,ui,A,2026-02-19 20:40:31.084756+00
301,3,ku,ji,null,null,A,2026-02-19 20:40:31.084756+00
302,3,kmr,ji,null,null,A,2026-02-19 20:40:31.084756+00
303,3,lo,ຂອງ,null,khong,A,2026-02-19 20:40:31.084756+00
304,3,la,de,null,null,A,2026-02-19 20:40:31.084756+00
305,3,lv,no,null,null,A,2026-02-19 20:40:31.084756+00
306,3,lt,iš,null,null,A,2026-02-19 20:40:31.084756+00
307,3,lb,vun,null,null,A,2026-02-19 20:40:31.084756+00
308,3,mk,на,null,na,A,2026-02-19 20:40:31.084756+00
309,3,mg,ny,null,null,A,2026-02-19 20:40:31.084756+00
310,3,ms,dari,null,null,A,2026-02-19 20:40:31.084756+00
311,3,ml,യുടെ,null,yuṭe,A,2026-02-19 20:40:31.084756+00
312,3,mt,ta',null,null,A,2026-02-19 20:40:31.084756+00
313,3,mi,o,null,null,A,2026-02-19 20:40:31.084756+00
314,3,mn,-ын,null,yn,A,2026-02-19 20:40:31.084756+00
315,3,sr-ME,od,null,null,A,2026-02-19 20:40:31.084756+00
316,3,ne,को,null,ko,A,2026-02-19 20:40:31.084756+00
317,3,nb-NO,av,null,null,A,2026-02-19 20:40:31.084756+00
318,3,nn-NO,av,null,null,A,2026-02-19 20:40:31.084756+00
319,3,oc,de,null,null,A,2026-02-19 20:40:31.084756+00
320,3,or,ର,null,ra,A,2026-02-19 20:40:31.084756+00
321,3,ps,د,null,da,A,2026-02-19 20:40:31.084756+00
322,3,fa,از,null,az,A,2026-02-19 20:40:31.084756+00
323,3,pt-BR,de,null,null,A,2026-02-19 20:40:31.084756+00
324,3,pt-PT,de,null,null,A,2026-02-19 20:40:31.084756+00
325,3,pa,ਦਾ,null,dā,A,2026-02-19 20:40:31.084756+00
326,3,ro,de,null,null,A,2026-02-19 20:40:31.084756+00
327,3,rm,da,null,null,A,2026-02-19 20:40:31.084756+00
328,3,ru,из,null,iz,A,2026-02-19 20:40:31.084756+00
329,3,sm,o,null,null,A,2026-02-19 20:40:31.084756+00
330,3,sa,स्य,null,sya,A,2026-02-19 20:40:31.084756+00
331,3,gd,de,null,null,A,2026-02-19 20:40:31.084756+00
332,3,sr,од,null,od,A,2026-02-19 20:40:31.084756+00
333,3,st,ea,null,null,A,2026-02-19 20:40:31.084756+00
334,3,tn,ya,null,null,A,2026-02-19 20:40:31.084756+00
335,3,sn,ye,null,null,A,2026-02-19 20:40:31.084756+00
336,3,scn,di,null,null,A,2026-02-19 20:40:31.084756+00
337,3,sd,جو,null,jo,A,2026-02-19 20:40:31.084756+00
338,3,si,ගේ,null,ge,A,2026-02-19 20:40:31.084756+00
339,3,sk,z,null,null,A,2026-02-19 20:40:31.084756+00
340,3,sl,od,null,null,A,2026-02-19 20:40:31.084756+00
341,3,so,ee,null,null,A,2026-02-19 20:40:31.084756+00
342,3,es,de,null,null,A,2026-02-19 20:40:31.084756+00
343,3,su,tina,null,null,A,2026-02-19 20:40:31.084756+00
344,3,sw,ya,null,null,A,2026-02-19 20:40:31.084756+00
345,3,sv,av,null,null,A,2026-02-19 20:40:31.084756+00
346,3,tg,аз,null,az,A,2026-02-19 20:40:31.084756+00
347,3,ta,இன்,null,in,A,2026-02-19 20:40:31.084756+00
348,3,te,యొక్క,null,yokka,A,2026-02-19 20:40:31.084756+00
349,3,th,ของ,null,khong,A,2026-02-19 20:40:31.084756+00
350,3,ti,ናይ,null,nay,A,2026-02-19 20:40:31.084756+00
351,3,tpi,bilong,null,null,A,2026-02-19 20:40:31.084756+00
352,3,to,o,null,null,A,2026-02-19 20:40:31.084756+00
353,3,tr,-ın,null,null,A,2026-02-19 20:40:31.084756+00
354,3,uk,з,null,z,A,2026-02-19 20:40:31.084756+00
355,3,ur,کا,null,kā,A,2026-02-19 20:40:31.084756+00
356,3,uz,ning,null,null,A,2026-02-19 20:40:31.084756+00
357,3,vec,de,null,null,A,2026-02-19 20:40:31.084756+00
358,3,vi,của,null,null,A,2026-02-19 20:40:31.084756+00
359,3,cy,o,null,null,A,2026-02-19 20:40:31.084756+00
360,3,wo,bu,null,null,A,2026-02-19 20:40:31.084756+00
361,3,yo,ti,null,null,A,2026-02-19 20:40:31.084756+00
362,3,zu,ka,null,null,A,2026-02-19 20:40:31.084756+00
363,3,zgh,n,null,null,A,2026-02-19 20:40:31.084756+00
364,4,af,in,null,null,A,2026-02-19 20:40:31.084756+00
365,4,sq,në,null,null,A,2026-02-19 20:40:31.084756+00
366,4,am,በ,null,be,A,2026-02-19 20:40:31.084756+00
367,4,ar-EG,في,null,fi,A,2026-02-19 20:40:31.084756+00
368,4,ar-AE,في,null,fi,A,2026-02-19 20:40:31.084756+00
369,4,ar-IQ,في,null,fi,A,2026-02-19 20:40:31.084756+00
370,4,ar-LB,في,null,fi,A,2026-02-19 20:40:31.084756+00
371,4,ar-MA,ف,null,f,A,2026-02-19 20:40:31.084756+00
372,4,ar,في,null,fi,A,2026-02-19 20:40:31.084756+00
373,4,hy,մեջ,null,mej,A,2026-02-19 20:40:31.084756+00
374,4,ast,en,null,null,A,2026-02-19 20:40:31.084756+00
375,4,eu,-n,null,null,A,2026-02-19 20:40:31.084756+00
376,4,be,у,null,u,A,2026-02-19 20:40:31.084756+00
377,4,bn,মধ্যে,null,moddhe,A,2026-02-19 20:40:31.084756+00
378,4,bs,u,null,null,A,2026-02-19 20:40:31.084756+00
379,4,br,e,null,null,A,2026-02-19 20:40:31.084756+00
380,4,bg,в,null,v,A,2026-02-19 20:40:31.084756+00
381,4,my,တွင်,null,htwin,A,2026-02-19 20:40:31.084756+00
382,4,ca,a,null,null,A,2026-02-19 20:40:31.084756+00
383,4,ceb,sa,null,null,A,2026-02-19 20:40:31.084756+00
384,4,co,in,null,null,A,2026-02-19 20:40:31.084756+00
385,4,hr,u,null,null,A,2026-02-19 20:40:31.084756+00
386,4,cs,v,null,null,A,2026-02-19 20:40:31.084756+00
387,4,da,i,null,null,A,2026-02-19 20:40:31.084756+00
388,4,nl,in,null,null,A,2026-02-19 20:40:31.084756+00
389,4,en,in,null,null,A,2026-02-19 20:40:31.084756+00
390,4,eo,en,null,null,A,2026-02-19 20:40:31.084756+00
391,4,et,sees,null,null,A,2026-02-19 20:40:31.084756+00
392,4,fo,í,null,null,A,2026-02-19 20:40:31.084756+00
393,4,fil,sa,null,null,A,2026-02-19 20:40:31.084756+00
394,4,fi,ssa,null,null,A,2026-02-19 20:40:31.084756+00
395,4,fr,dans,null,null,A,2026-02-19 20:40:31.084756+00
396,4,fy,yn,null,null,A,2026-02-19 20:40:31.084756+00
397,4,gl,en,null,null,A,2026-02-19 20:40:31.084756+00
398,4,ka,ში,null,shi,A,2026-02-19 20:40:31.084756+00
399,4,de,in,null,null,A,2026-02-19 20:40:31.084756+00
400,4,el,σε,null,se,A,2026-02-19 20:40:31.084756+00
401,4,gu,માં,null,māṁ,A,2026-02-19 20:40:31.084756+00
402,4,ht,nan,null,null,A,2026-02-19 20:40:31.084756+00
