sentence_id,concept_id,lang_code,sentence,pronunciation,level,created_at
68,1,ms,Mari cuba sesuatu,null,A,2026-02-19 20:51:09.706+00
69,1,ml,ഒന്ന് പരീക്ഷിക്കാം,onn pariṣikkām,A,2026-02-19 20:51:09.706+00
70,1,mt,Ejjew nippruvaw xi ħaġa,null,A,2026-02-19 20:51:09.706+00
71,1,mi,Kia whakamātau tātou i tētahi mea,null,A,2026-02-19 20:51:09.706+00
72,1,mn,Нэг юм туршаад үзье,neg yum turshaad üzy’e,A,2026-02-19 20:51:09.706+00
73,1,sr-ME,Hajde da probamo nešto,null,A,2026-02-19 20:51:09.706+00
74,1,ne,केही प्रयास गरौं,kehi prayas garaũ,A,2026-02-19 20:51:09.706+00
75,1,nb-NO,La oss prøve noe,null,A,2026-02-19 20:51:09.706+00
76,1,nn-NO,Lat oss prøve noko,null,A,2026-02-19 20:51:09.706+00
77,1,oc,Ensajam quicòm,null,A,2026-02-19 20:51:09.706+00
78,1,or,ଚଲ ଗୋଟେ କିଛି ଚେଷ୍ଟା କରିବା,chal gote kichhi cheshta kariba,A,2026-02-19 20:51:09.706+00
79,1,ps,راځئ یو څه وازمایو,raẓay yo tsə wâzmâyu,A,2026-02-19 20:51:09.706+00
80,1,fa,بیایید چیزی را امتحان کنیم,biyâid chizi râ emtehân konim,A,2026-02-19 20:51:09.706+00
81,1,pt-BR,Vamos tentar alguma coisa,null,A,2026-02-19 20:51:09.706+00
82,1,pt-PT,Vamos experimentar alguma coisa,null,A,2026-02-19 20:51:09.706+00
3196,27,it,Vado,null,A,2026-02-19 20:51:13.587726+00
83,1,pa,ਚਲੋ ਕੁਝ ਅਜ਼ਮਾਈਏ,chalo kujh azmaaiye,A,2026-02-19 20:51:09.706+00
84,1,ro,Să încercăm ceva,null,A,2026-02-19 20:51:09.706+00
85,1,rm,Emproviain insatge,null,A,2026-02-19 20:51:09.706+00
86,1,ru,Давай попробуем что-нибудь,davay poprobuyem chto-nibud’,A,2026-02-19 20:51:09.706+00
87,1,sm,Seʻi o tatou taumafai i se mea,null,A,2026-02-19 20:51:09.706+00
88,1,sa,आवामः किञ्चित् परीक्षामः,āvāmaḥ kiñcit parīkṣāmaḥ,A,2026-02-19 20:51:09.706+00
89,1,gd,Feuchaidh sinn rudeigin,null,A,2026-02-19 20:51:09.706+00
90,1,sr,Хајде да пробамо нешто,hajde da probamo neshto,A,2026-02-19 20:51:09.706+00
91,1,st,A re lekeng ho hong,null,A,2026-02-19 20:51:09.706+00
92,1,tn,A re leke sengwe,null,A,2026-02-19 20:51:09.706+00
93,1,sn,Ngatiedzei chimwe chinhu,null,A,2026-02-19 20:51:09.706+00
94,1,scn,Prubbamu quarchi cosa,null,A,2026-02-19 20:51:09.706+00
95,1,sd,اچو ته ڪجهه آزمائيو,acho ta kuch aazmaayo,A,2026-02-19 20:51:09.706+00
96,1,si,අපි මොනවාහරි උත්සාහ කරමු,api monavahari utsaha karamu,A,2026-02-19 20:51:09.706+00
97,1,sk,Skúsme niečo,null,A,2026-02-19 20:51:09.706+00
98,1,sl,Poskusimo nekaj,null,A,2026-02-19 20:51:09.706+00
99,1,so,Aynu wax tijaabino,null,A,2026-02-19 20:51:09.706+00
100,1,es,Probemos algo,null,A,2026-02-19 20:51:09.706+00
101,1,su,Hayu urang cobaan hiji hal,null,A,2026-02-19 20:51:09.706+00
102,1,sw,Hebu tujaribu kitu,null,A,2026-02-19 20:51:09.706+00
103,1,sv,Låt oss prova något,null,A,2026-02-19 20:51:09.706+00
104,1,tg,Биёед чизе санҷем,biyoyed chize sanjem,A,2026-02-19 20:51:09.706+00
105,1,ta,ஏதாவது முயற்சி செய்வோம்,ēthāvathu muyarchi seyvōm,A,2026-02-19 20:51:09.706+00
106,1,te,ఏదైనా ప్రయత్నిద్దాం,ēdainā prayatniddām,A,2026-02-19 20:51:09.706+00
107,1,th,ลองทำอะไรสักอย่างกันเถอะ,long tham arai sak yang kan thoe,A,2026-02-19 20:51:09.706+00
108,1,ti,እስኪ ነገር ንፈትን,ĭski nǝgǝr nǝfǝtǝn,A,2026-02-19 20:51:09.706+00
109,1,tpi,Yumi ken traim sampela samting,null,A,2026-02-19 20:51:09.706+00
110,1,to,Tau ʻofoʻiʻi ha meʻa ʻe taha,null,A,2026-02-19 20:51:09.706+00
111,1,tr,Hadi bir şey deneyelim,null,A,2026-02-19 20:51:09.706+00
112,1,uk,Давай спробуємо щось,davai sprobuyemo shchos’,A,2026-02-19 20:51:09.706+00
113,1,ur,چلیے کچھ آزما کر دیکھیں,chaliye kuch aazma kar dekhein,A,2026-02-19 20:51:09.706+00
114,1,uz,"Keling, biror narsa sinab ko‘raylik",null,A,2026-02-19 20:51:09.706+00
115,1,vec,Proémo qualcossa,null,A,2026-02-19 20:51:09.706+00
116,1,vi,Hãy thử một thứ gì đó,null,A,2026-02-19 20:51:09.706+00
117,1,cy,Gadewch i ni roi cynnig ar rywbeth,null,A,2026-02-19 20:51:09.706+00
118,1,wo,Nañu jéem dara,null,A,2026-02-19 20:51:09.706+00
119,1,yo,Jẹ́ ká gbìyànjú nǹkan kan,null,A,2026-02-19 20:51:09.706+00
120,1,zu,Masizame okuthile,null,A,2026-02-19 20:51:09.706+00
121,1,zgh,ⴰⵢⵢⴰ ⵏⵙⴽⵔ ⵢⴰⵜ ⵜⵎⵙⵍⵉⵜ,ayya nsker yat tmeslit,A,2026-02-19 20:51:09.706+00
122,2,af,Ek moet gaan slaap,null,A,2026-02-19 20:51:09.706+00
123,2,sq,Duhet të shkoj të fle,null,A,2026-02-19 20:51:09.706+00
124,2,am,መተኛት አለብኝ,metenyat alebñ,A,2026-02-19 20:51:09.706+00
125,2,ar-EG,لازم أنام,lazem anām,A,2026-02-19 20:51:09.706+00
126,2,ar-AE,لازم أروح أنام,lazem arūḥ anām,A,2026-02-19 20:51:09.706+00
127,2,ar-IQ,لازم أروح أنام,lazem arūḥ anām,A,2026-02-19 20:51:09.706+00
128,2,ar-LB,لازم روح نام,lazem rūḥ nām,A,2026-02-19 20:51:09.706+00
129,2,ar-MA,خاصني نمشي ننعس,khassni nmshi nnaʿs,A,2026-02-19 20:51:09.706+00
130,2,ar,يجب أن أذهب للنوم,yajibu an adhhab lil-nawm,A,2026-02-19 20:51:09.706+00
131,2,hy,Պետք է գնամ քնելու,petk’ e gnam k’nelu,A,2026-02-19 20:51:09.706+00
132,2,ast,Tengo que dir a dormir,null,A,2026-02-19 20:51:09.706+00
133,2,eu,Lo egitera joan behar dut,null,A,2026-02-19 20:51:09.706+00
134,2,be,Мне трэба ісці спаць,mne treba istsi spats’,A,2026-02-19 20:51:09.706+00
135,2,bn,আমাকে ঘুমাতে যেতে হবে,amake ghumate jete hobe,A,2026-02-19 20:51:09.706+00
136,2,bs,Moram ići spavati,null,A,2026-02-19 20:51:09.706+00
137,2,br,Ret eo din da gousket,null,A,2026-02-19 20:51:09.706+00
138,2,bg,Трябва да си лягам,tryabva da si lyagam,A,2026-02-19 20:51:09.706+00
139,2,my,အိပ်ဖို့ သွားရမယ်,ate pho thwa ya mal,A,2026-02-19 20:51:09.706+00
140,2,ca,He d’anar a dormir,null,A,2026-02-19 20:51:09.706+00
141,2,ceb,Kinahanglan na kong matulog,null,A,2026-02-19 20:51:09.706+00
142,2,co,Devu andà à dorme,null,A,2026-02-19 20:51:09.706+00
143,2,hr,Moram ići spavati,null,A,2026-02-19 20:51:09.706+00
144,2,cs,Musím jít spát,null,A,2026-02-19 20:51:09.706+00
145,2,da,Jeg er nødt til at gå i seng,null,A,2026-02-19 20:51:09.706+00
146,2,nl,Ik moet gaan slapen,null,A,2026-02-19 20:51:09.706+00
147,2,en,I have to go to sleep,null,A,2026-02-19 20:51:09.706+00
148,2,eo,Mi devas iri dormi,null,A,2026-02-19 20:51:09.706+00
149,2,et,Ma pean magama minema,null,A,2026-02-19 20:51:09.706+00
150,2,fo,Eg má fara at sova,null,A,2026-02-19 20:51:09.706+00
151,2,fil,Kailangan kong matulog,null,A,2026-02-19 20:51:09.706+00
152,2,fi,Minun täytyy mennä nukkumaan,null,A,2026-02-19 20:51:09.706+00
153,2,fr,Je dois aller dormir,null,A,2026-02-19 20:51:09.706+00
154,2,fy,Ik moat sliepen gean,null,A,2026-02-19 20:51:09.706+00
155,2,gl,Teño que ir durmir,null,A,2026-02-19 20:51:09.706+00
156,2,ka,უნდა წავიდე დასაძინებლად,unda ts’avide dasadzineblad,A,2026-02-19 20:51:09.706+00
157,2,de,Ich muss schlafen gehen,null,A,2026-02-19 20:51:09.706+00
158,2,el,Πρέπει να πάω για ύπνο,prépei na páo gia ýpno,A,2026-02-19 20:51:09.706+00
159,2,gu,મારે સૂવા જવું પડશે,māre sūvā javū paṛśe,A,2026-02-19 20:51:09.706+00
160,2,ht,Mwen dwe ale dòmi,null,A,2026-02-19 20:51:09.706+00
161,2,ha,Dole in je in kwanta,dole in je in kwanta,A,2026-02-19 20:51:09.706+00
162,2,he,אני צריך ללכת לישון,ani tsarikh lalechet lishon,A,2026-02-19 20:51:09.706+00
163,2,hi,मुझे सोने जाना है,mujhe sone jana hai,A,2026-02-19 20:51:09.706+00
164,2,hu,El kell mennem aludni,null,A,2026-02-19 20:51:09.706+00
165,2,is,Ég verð að fara að sofa,null,A,2026-02-19 20:51:09.706+00
166,2,ig,A ga m aga ihi ụra,null,A,2026-02-19 20:51:09.706+00
167,2,ilo,Kasapulan kon nga mapan maturog,null,A,2026-02-19 20:51:09.706+00
168,2,id,Aku harus tidur,null,A,2026-02-19 20:51:09.706+00
169,2,ga,Caithfidh mé dul a chodladh,null,A,2026-02-19 20:51:09.706+00
170,2,xh,Kufuneka ndiye kulala,null,A,2026-02-19 20:51:09.706+00
171,2,it,Devo andare a dormire,null,A,2026-02-19 20:51:09.706+00
172,2,ja,寝なきゃいけない,nenakya ikenai,A,2026-02-19 20:51:09.706+00
173,2,jv,Aku kudu turu,null,A,2026-02-19 20:51:09.706+00
174,2,kn,ನನಗೆ ನಿದ್ರೆಗೆ ಹೋಗಬೇಕು,nanage nidrege hōgabēku,A,2026-02-19 20:51:09.706+00
175,2,kk,Маған ұйықтауға бару керек,mağan uyıqtauğa baru kerek,A,2026-02-19 20:51:09.706+00
176,2,km,ខ្ញុំត្រូវទៅគេង,khnom trauv tov keng,A,2026-02-19 20:51:09.706+00
177,2,rw,Ngomba kujya kuryama,null,A,2026-02-19 20:51:09.706+00
178,2,rn,Ndakwiye kujya kuryama,null,A,2026-02-19 20:51:09.706+00
179,2,ko,나 자러 가야 해,na jareo gaya hae,A,2026-02-19 20:51:09.706+00
180,2,ku,Divê ez herim razêm,null,A,2026-02-19 20:51:09.706+00
181,2,kmr,Divê ez herim razêm,null,A,2026-02-19 20:51:09.706+00
182,2,lo,ຂ້ອຍຕ້ອງໄປນອນ,khoy tong pai non,A,2026-02-19 20:51:09.706+00
183,2,la,Mihi eundum est dormitum,null,A,2026-02-19 20:51:09.706+00
184,2,lv,Man jāiet gulēt,null,A,2026-02-19 20:51:09.706+00
185,2,lt,Man reikia eiti miegoti,null,A,2026-02-19 20:51:09.706+00
186,2,lb,Ech muss schlofe goen,null,A,2026-02-19 20:51:09.706+00
187,2,mk,Морам да одам да спијам,moram da odam da spijam,A,2026-02-19 20:51:09.706+00
188,2,mg,Tsy maintsy mandeha hatory aho,null,A,2026-02-19 20:51:09.706+00
189,2,ms,Saya kena tidur,null,A,2026-02-19 20:51:09.706+00
190,2,ml,എനിക്ക് ഉറങ്ങാൻ പോകണം,enikk urangān pōkaṇam,A,2026-02-19 20:51:09.706+00
191,2,mt,Għandi mmur norqod,null,A,2026-02-19 20:51:09.706+00
192,2,mi,Me haere au ki te moe,null,A,2026-02-19 20:51:09.706+00
193,2,mn,Би унтах хэрэгтэй,bi untakh kheregtei,A,2026-02-19 20:51:09.706+00
194,2,sr-ME,Moram da idem da spavam,null,A,2026-02-19 20:51:09.706+00
195,2,ne,मलाई सुत्न जानुपर्छ,mālai sutna jānuparcha,A,2026-02-19 20:51:09.706+00
196,2,nb-NO,Jeg må gå og legge meg,null,A,2026-02-19 20:51:09.706+00
197,2,nn-NO,Eg må gå og leggje meg,null,A,2026-02-19 20:51:09.706+00
198,2,oc,Devi anar dormir,null,A,2026-02-19 20:51:09.706+00
199,2,or,ମୋତେ ଘୁମାଇବାକୁ ଯିବାକୁ ପଡ଼ିବ,mote ghumāibāku jibāku paṛiba,A,2026-02-19 20:51:09.706+00
200,2,ps,زه باید ویده شم,za bāyad wida shum,A,2026-02-19 20:51:09.706+00
201,2,fa,باید برم بخوابم,bāyad beram bekhābam,A,2026-02-19 20:51:09.706+00
202,2,pt-BR,Eu tenho que ir dormir,null,A,2026-02-19 20:51:09.706+00
203,2,pt-PT,Tenho de ir dormir,null,A,2026-02-19 20:51:09.706+00
204,2,pa,ਮੈਨੂੰ ਸੌਣ ਜਾਣਾ ਪਵੇਗਾ,mainu saun jana pavega,A,2026-02-19 20:51:09.706+00
205,2,ro,Trebuie să mă duc la culcare,null,A,2026-02-19 20:51:09.706+00
206,2,rm,Sto ir a durmir,null,A,2026-02-19 20:51:09.706+00
207,2,ru,Мне нужно идти спать,mne nuzhno idti spat’,A,2026-02-19 20:51:09.706+00
208,2,sm,E tatau ona ou alu e moe,null,A,2026-02-19 20:51:09.706+00
209,2,sa,मम शयनाय गन्तव्यम्,mama shayanāya gantavyam,A,2026-02-19 20:51:09.706+00
210,2,gd,Feumaidh mi dol a chadal,null,A,2026-02-19 20:51:09.706+00
211,2,sr,Морам да идем да спавам,moram da idem da spavam,A,2026-02-19 20:51:09.706+00
212,2,st,Ke tshwanetse ho robala,null,A,2026-02-19 20:51:09.706+00
213,2,tn,Ke tshwanetse go robala,null,A,2026-02-19 20:51:09.706+00
214,2,sn,Ndinofanira kuenda kunorara,null,A,2026-02-19 20:51:09.706+00
215,2,scn,Ju haiu a jiri a durmiri,null,A,2026-02-19 20:51:09.706+00
216,2,sd,مون کي سمهڻ وڃڻو آهي,mun khe sumṇa v̱aṇ̣o āhe,A,2026-02-19 20:51:09.706+00
217,2,si,මට නිදාගන්න යන්න ඕනේ,matā nidāganna yanna ōnē,A,2026-02-19 20:51:09.706+00
218,2,sk,Musím ísť spať,null,A,2026-02-19 20:51:09.706+00
219,2,sl,Moram iti spat,null,A,2026-02-19 20:51:09.706+00
220,2,so,Waa inaan seexdo,null,A,2026-02-19 20:51:09.706+00
221,2,es,Tengo que irme a dormir,null,A,2026-02-19 20:51:09.706+00
222,2,su,Kuring kudu indit sare,null,A,2026-02-19 20:51:09.706+00
223,2,sw,Ninapaswa kwenda kulala,null,A,2026-02-19 20:51:09.706+00
224,2,sv,Jag måste gå och lägga mig,null,A,2026-02-19 20:51:09.706+00
225,2,tg,Ман бояд ба хоб равам,man boyad ba khob ravam,A,2026-02-19 20:51:09.706+00
226,2,ta,நான் தூங்கப் போக வேண்டும்,nān tūngap pōka vēṇṭum,A,2026-02-19 20:51:09.706+00
227,2,te,నాకు నిద్రపోవాలి,nāku nidrapōvāli,A,2026-02-19 20:51:09.706+00
228,2,th,ฉันต้องไปนอนแล้ว,chǎn tông pai non laeo,A,2026-02-19 20:51:09.706+00
229,2,ti,ክኸይድ ክድቅስ ኣለኒ,k’kheyd k’dəqs aleni,A,2026-02-19 20:51:09.706+00
230,2,tpi,Mi mas go slip,null,A,2026-02-19 20:51:09.706+00
231,2,to,ʻOku pau ke u ʻalu ʻo mohe,null,A,2026-02-19 20:51:09.706+00
232,2,tr,Uyumaya gitmem lazım,null,A,2026-02-19 20:51:09.706+00
233,2,uk,Мені треба йти спати,meni treba yty spaty,A,2026-02-19 20:51:09.706+00
234,2,ur,مجھے سونے جانا ہے,mujhe sone jana hai,A,2026-02-19 20:51:09.706+00
235,2,uz,Men uxlashim kerak,null,A,2026-02-19 20:51:09.706+00
236,2,vec,Mi devo andar a dormir,null,A,2026-02-19 20:51:09.706+00
237,2,vi,Tôi phải đi ngủ,null,A,2026-02-19 20:51:09.706+00
238,2,cy,Rhaid i mi fynd i gysgu,null,A,2026-02-19 20:51:09.706+00
239,2,wo,Damaa dem naa nelaw,null,A,2026-02-19 20:51:09.706+00
240,2,yo,Mo ní láti lọ sùn,null,A,2026-02-19 20:51:09.706+00
241,2,zu,Kufanele ngiye kulala,null,A,2026-02-19 20:51:09.706+00
242,2,zgh,ⵉⵍⵍⴰ ⵉⵖⵉⵢ ⴰⴷ ⵏⵙⵎⵎⵉⴷ,illa ighiy ad nsmmid,A,2026-02-19 20:51:09.706+00
243,3,af,Vandag is dit 18 Junie en dit is Muiriel se verjaarsdag!,null,A,2026-02-19 20:51:09.706+00
244,3,sq,Sot është 18 qershor dhe është ditëlindja e Muiriel!,null,A,2026-02-19 20:51:09.706+00
5633,47,mg,Ka inona?,null,A,2026-02-19 20:51:15.017513+00
245,3,am,ዛሬ ሰኔ 18 ነው እና የሙኢሪኤል ልደት ነው!,zare sene asra semmnt naw ena ye muiriel lədət naw!,A,2026-02-19 20:51:09.706+00
246,3,ar-EG,النهارده 18 يونيو وده عيد ميلاد مويريل!,elnaharda 18 yonyo w da ʿeid ميلاد muiriel!,A,2026-02-19 20:51:09.706+00
247,3,ar-AE,اليوم 18 يونيو وهو عيد ميلاد مويريل!,alyawm 18 yunyū wa huwa ʿīd ميلاد muiriel!,A,2026-02-19 20:51:09.706+00
248,3,ar-IQ,اليوم 18 حزيران وهو عيد ميلاد مويريل!,alyawm 18 ḥuzayrān wa huwa ʿīd ميلاد muiriel!,A,2026-02-19 20:51:09.706+00
249,3,ar-LB,اليوم 18 حزيران وهو عيد ميلاد مويريل!,elyom 18 ḥzayrān w howwe ʿīd ميلاد muiriel!,A,2026-02-19 20:51:09.706+00
250,3,ar-MA,اليوم هو 18 يونيو وهاد نهار عيد ميلاد مويريل!,lyum huwa 18 yunyu w had nhar ʿid ميلاد muiriel!,A,2026-02-19 20:51:09.706+00
251,3,ar,اليوم هو الثامن عشر من يونيو وهو عيد ميلاد مويريل!,alyawmu huwa ath-thāmin ʿashar min yūnyū wa huwa ʿīdu ميلād muiriel!,A,2026-02-19 20:51:09.706+00
252,3,hy,"Այսօր հունիսի 18-ն է, և Մուիրիելի ծննդյան օրն է!,aysor hunisi 18-n e",yev muirieli tsnndyan orn e!,A,2026-02-19 20:51:09.706+00
253,3,ast,Güei ye'l 18 de xunu y ye'l cumpleaños de Muiriel!,null,A,2026-02-19 20:51:09.706+00
254,3,eu,"Gaur ekainaren 18a da, eta Muirielen urtebetetzea da!",null,A,2026-02-19 20:51:09.706+00
255,3,be,"Сёння 18 чэрвеня, і гэта дзень нараджэння Муіріэль!,syonnya 18 chervenya",i heta dzen naradzhennya muiriel!,A,2026-02-19 20:51:09.706+00
256,3,bn,"আজ ১৮ই জুন, আর আজ মুইরিয়েলের জন্মদিন!,aj 18-i jun",ar aj muiriel-er jonmodin!,A,2026-02-19 20:51:09.706+00
257,3,bs,Danas je 18. juni i Muirielin je rođendan!,null,A,2026-02-19 20:51:09.706+00
258,3,br,Hiziv eo an 18 a viz Even hag eo deiz-ha-bloaz Muiriel!,null,A,2026-02-19 20:51:09.706+00
259,3,bg,Днес е 18 юни и е рожденият ден на Мюриел!,dnes e 18 yuni i e rozhdeniyat den na myuriel!,A,2026-02-19 20:51:09.706+00
260,3,my,ဒီနေ့ ဇွန် ၁၈ ရက် ဖြစ်ပြီး Muiriel ရဲ့ မွေးနေ့ပါ!,di nei jun se taseit yat phyit pyi muiriel ye mwe nei par!,A,2026-02-19 20:51:09.706+00
261,3,ca,Avui és 18 de juny i és l’aniversari de la Muiriel!,null,A,2026-02-19 20:51:09.706+00
262,3,ceb,Karon Hunyo 18 ug adlawng natawhan ni Muiriel!,null,A,2026-02-19 20:51:09.706+00
263,3,co,Oghje hè u 18 di ghjugnu è hè l'anniversariu di Muiriel!,null,A,2026-02-19 20:51:09.706+00
264,3,hr,Danas je 18. lipnja i Muirielin je rođendan!,null,A,2026-02-19 20:51:09.706+00
265,3,cs,Dnes je 18. června a Muiriel má narozeniny!,null,A,2026-02-19 20:51:09.706+00
266,3,da,"I dag er det den 18. juni, og det er Muiriels fødselsdag!",null,A,2026-02-19 20:51:09.706+00
267,3,nl,Vandaag is het 18 juni en het is Muiriels verjaardag!,null,A,2026-02-19 20:51:09.706+00
268,3,en,Today is June 18th and it is Muiriel's birthday!,null,A,2026-02-19 20:51:09.706+00
269,3,eo,Hodiaŭ estas la 18-a de junio kaj estas la naskiĝtago de Muiriel!,null,A,2026-02-19 20:51:09.706+00
270,3,et,Täna on 18. juuni ja on Muirieli sünnipäev!,null,A,2026-02-19 20:51:09.706+00
271,3,fo,"Í dag er 18. juni, og tað er føðingardagur hjá Muiriel!",null,A,2026-02-19 20:51:09.706+00
272,3,fil,Ngayon ay Hunyo 18 at kaarawan ni Muiriel!,null,A,2026-02-19 20:51:09.706+00
273,3,fi,Tänään on 18. kesäkuuta ja on Muirielin syntymäpäivä!,null,A,2026-02-19 20:51:09.706+00
274,3,fr,"Aujourd’hui, c’est le 18 juin et c’est l’anniversaire de Muiriel !",null,A,2026-02-19 20:51:09.706+00
275,3,fy,Hjoed is it 18 juny en it is Muiriel har jierdei!,null,A,2026-02-19 20:51:09.706+00
276,3,gl,Hoxe é 18 de xuño e é o aniversario de Muiriel!,null,A,2026-02-19 20:51:09.706+00
277,3,ka,დღეს 18 ივნისია და მუირიელის დაბადების დღეა!,dghes 18 ivnisi-a da muirielis dabadebis dgea!,A,2026-02-19 20:51:09.706+00
278,3,de,Heute ist der 18. Juni und es ist Muiriels Geburtstag!,null,A,2026-02-19 20:51:09.706+00
